Producto,Terminal,Carrier ,Truck,Trailer,Estatus,BOL,BBls net,Glls,Cliente, AR ,Venta total
ULSD,BLUEWING,SPBR,1002,530,DONE,1223703,144.52,6070,ALEXIS,$2.4900,"$15,114.30"
ULSD,BLUEWING,SPBR,1002,530,DONE,1223924,159.88,6715,ALEXIS,$2.4800,"$16,653.20"
ULSD,SUNOCO,RHINO,2759,274,DONE,64663,170.19,7148,ALEXIS,$3.7808,"$27,025.16"
ULSD,SUNOCO,RHINO,2759,274,BOL UPDATED,64672,170.71,7170,ALEXIS,$3.7808,"$27,108.34"
ULSD,SUNOCO,RHINO,2759,274,BOL UPDATED,64995,170.26,7151,ALEXIS,$3.9499,"$28,245.73"
ULSD,SUNOCO,RHINO,2759,274,BOL UPDATED,65093,171.38,7198,ALEXIS,$3.9225,"$28,234.16"
ULSD,SUNOCO,RHINO,2759,274,BOL UPDATED,65247,172.26,7235,ALEXIS,$3.9984,"$28,928.42"
ULSD,SUNOCO,RHINO,2759,274,BOL UPDATED,65296,172.14,7230,ALEXIS,$3.9984,"$28,908.43"
ETHANOL,BLUEWING,ORKH,408,20,POD PENDING,1240413,264.43,11106,ALPHA,$2.2400,"$24,877.44"
ETHANOL,BLUEWING,ORKH,HS162,22,POD PENDING,1240414,264.45,11107,ALPHA,$2.2400,"$24,879.68"
ETHANOL,BLUEWING,ORKH,HS287,23,POD PENDING,1240416,257.48,10814,ALPHA,$2.2400,"$24,223.36"
ETHANOL,BLUEWING,ORKH,RM03,16,POD PENDING,1240417,264.48,11108,ALPHA,$2.2400,"$24,881.92"
ETHANOL,BLUEWING,ORKH,648,15,POD PENDING,1240420,264.45,11107,ALPHA,$2.2400,"$24,879.68"
ETHANOL,BLUEWING,ORKH,HS287,23,POD PENDING,1240416,7,294,ALPHA,$2.2400,$658.56
ETHANOL,BLUEWING,ORKH,648,15,ON TRACK,1240570,263.95,11086,ALPHA,$2.2200,"$24,610.92"
ETHANOL,BLUEWING,ORKH,RM02,18,ON TRACK,1240602,263.98,11087,ALPHA,$2.2200,"$24,613.14"
ETHANOL,BLUEWING,LUJE,16,A19,ON TRACK,1240594,263.98,11087,ALPHA,$2.2200,"$24,613.14"
ETHANOL,BLUEWING,ORKH,15,17,ON TRACK,1240577,263.98,11087,ALPHA,$2.2200,"$24,613.14"
ETHANOL,BLUEWING,ORKH,HS162,22,ON TRACK,1240582,264,11088,ALPHA,$2.2200,"$24,615.36"
ETHANOL,BLUEWING,RODEGA,10,24,ON TRACK,1240590,263.98,11087,ALPHA,$2.2200,"$24,613.14"
ETHANOL,SUNOCO,RHINO,W661,5537,ON TRACK,64064,167.5,7035,ALPHA,$2.0450,"$14,386.58"
ETHANOL,SUNOCO,RHINO,50,9594,ON TRACK,64070,167.57,7038,ALPHA,$2.0450,"$14,392.71"
ETHANOL,SUNOCO,RHINO,66,5537,ON TRACK,64105,167.6,7039,ALPHA,$2.0450,"$14,394.76"
ETHANOL,SUNOCO,RHINO,181,9594,LOADING,64112,167.6,7039,ALPHA,$2.0450,"$14,394.76"
ETHANOL,SUNOCO,RHINO,891S,5537,LOADING,64114,167.64,7041,ALPHA,$2.0450,"$14,398.85"
ETHANOL,SUNOCO,RHINO,S819,2513,LOADING,64126,138.14,5802,ALPHA,$2.0675,"$11,995.64"
ETHANOL,SUNOCO,RHINO,1,2513,LOADING,64191,168.64,7083,ALPHA,$2.0675,"$14,644.10"
