Name,CLIENTS,BALANCED CLIENTS,Picture,Total Revenue,Payment for clients total,Total Ajustes,VENDOR,Type,SUM Due Balanced,SUM Partial Balanced,SUM On time Balanced,SUM Pre Paid Balanced,Credit Limit (from Client list Link),Credit Avalible,SUM Final due balance,INTRA per Client,Balanced + Intra,Debt,Debt INTRA,Frozen Balanced Clients,Active clients,Cashflow,Payments in Transit
DUMMY,DUMMY,$0.00,,$0.00,$0.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,$0.00,,,$0.00
BLAU,,$46900.57,,$46900.57,$0.00,$0.00,BLAU,Vendor,$0.00,$0.00,$0.00,$0.00,,-$46900.57,$0.00,,$46900.57,Debt,Debt,$46900.57,,,$0.00
BROWN GTR,,$272101.30,,$272101.30,$0.00,$0.00,BROWN GTR,Vendor,$0.00,$0.00,$0.00,$0.00,,-$272101.30,$0.00,,$272101.30,Debt,Debt,$272101.30,,,$0.00
EAGLE ENERGY,,$25680.00,,$25680.00,$0.00,$0.00,EAGLE ENERGY,Vendor,$0.00,$0.00,$0.00,$0.00,,-$25680.00,$0.00,,$25680.00,Debt,Debt,$25680.00,,,$0.00
FAMA ENERGY,,$418461.10,,$418461.10,$0.00,$0.00,FAMA ENERGY,Vendor,$0.00,$0.00,$0.00,$0.00,,-$418461.10,$0.00,,$418461.10,Debt,Debt,$418461.10,,,$0.00
FREEDOM,,$3051049.06,,$3051049.06,$0.00,$0.00,FREEDOM,Vendor,$0.00,$0.00,$0.00,$0.00,,-$3051049.06,$0.00,,$3051049.06,Debt,Debt,$3051049.06,,,$0.00
GREYROCK,,$222308080.34,Diseño sin título (3).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/7wUOIXDP4gu_-36NymX7Kg/rFgVcCid9uK-3oi6-p150g0JyD6CKkZWeCH3hJXCuZUDOdojvOfGZ8xyk3vU8hJRxft4ezhQQ7L6KyqcT4NUDPH-ClSkmnKytf6qYb6trMvQV_VY1hEThc1_jikNaf_ac6fLrQpbl0NWDhjwBcZhPZ7rOMozaCZdtIvVl8kfKMk/bYFhPOCdGYxvMVgD2qGeBDpRBPSTePXPGA9eu17zOy8),$222308080.34,$0.00,$0.00,GREYROCK,Vendor,$0.00,$0.00,$0.00,$0.00,,-$222308080.34,$0.00,,$222308080.34,Debt,Debt,$68151406.07,,1/15/2025,$0.00
GREYROCK RAILCAR,,$388530.80,Diseño sin título (3).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/7wUOIXDP4gu_-36NymX7Kg/rFgVcCid9uK-3oi6-p150g0JyD6CKkZWeCH3hJXCuZUDOdojvOfGZ8xyk3vU8hJRxft4ezhQQ7L6KyqcT4NUDPH-ClSkmnKytf6qYb6trMvQV_VY1hEThc1_jikNaf_ac6fLrQpbl0NWDhjwBcZhPZ7rOMozaCZdtIvVl8kfKMk/bYFhPOCdGYxvMVgD2qGeBDpRBPSTePXPGA9eu17zOy8),$388530.80,$0.00,$0.00,GREYROCK RAILCAR,Vendor,$0.00,$0.00,$0.00,$0.00,,-$388530.80,$0.00,,$388530.80,Debt,Debt,$388530.80,,1/15/2025,$0.00
GTR,,$55801246.80,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),$55801246.80,$0.00,$0.00,GTR,Vendor,$0.00,$0.00,$0.00,$0.00,,-$55801246.80,$0.00,,$55801246.80,Debt,Debt,$52438228.66,,1/15/2025,$0.00
GULF,,$13927707.12,,$13927707.12,$0.00,$0.00,GULF,Vendor,$0.00,$0.00,$0.00,$0.00,,-$13927707.12,$0.00,,$13927707.12,Debt,Debt,$13927707.12,,,$0.00
HUERTA,,$117152.75,,$117152.75,$0.00,$0.00,HUERTA,Vendor,$0.00,$0.00,$0.00,$0.00,,-$117152.75,$0.00,,$117152.75,Debt,Debt,$117152.75,,,$0.00
IKER,,$101962.77,,$101962.77,$0.00,$0.00,IKER,Vendor,$0.00,$0.00,$0.00,$0.00,,-$101962.77,$0.00,,$101962.77,Debt,Debt,$101962.77,,,$0.00
IKON,,$418218.15,,$418218.15,$0.00,$0.00,IKON,Vendor,$0.00,$0.00,$0.00,$0.00,,-$418218.15,$0.00,,$418218.15,Debt,Debt,$418218.15,,,$0.00
INVENTORY,,$71580.69,,$71580.69,$0.00,$0.00,INVENTORY,Vendor,$0.00,$0.00,$0.00,$0.00,,-$71580.69,$0.00,,$71580.69,Debt,Debt,$71580.69,,,$0.00
JPAC,,$8516998.95,,$8516998.95,$0.00,$0.00,JPAC,Vendor,$0.00,$0.00,$0.00,$0.00,,-$8516998.95,$0.00,,$8516998.95,Debt,Debt,$8516998.95,,,$0.00
LEI,,$26640882.21,,$26640882.21,$0.00,$0.00,LEI,Vendor,$0.00,$0.00,$0.00,$0.00,,-$26640882.21,$0.00,,$26640882.21,Debt,Debt,$26640882.21,,,$0.00
MG ENERGY,,$274669.56,,$274669.56,$0.00,$0.00,MG ENERGY,Vendor,$0.00,$0.00,$0.00,$0.00,,-$274669.56,$0.00,,$274669.56,Debt,Debt,$274669.56,,,$0.00
MODERN,,$81292311.23,Logos vendors (1).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/eSWbCFR5ZVPZxCvhpFLg4g/wAXL8InXutNPYj3n51Ec8rOJ2JtbSSU93SVp3vZ29naPobyahNhOgpVsMYf8xIt_ZvV_cpDvHMzoJZJgo1Zo7-i2uYJ0AOoVnqE6uzwfVOUlH_IGCS1H28pnxwESxla1JFzvjb5dt-qiCB0Gh4W1nvaYkNjsuV1k1oIShF3_2i8/TF2BXMMYbxehRcy0dZI8q8tujLIN7FPBsoni09cg5MA),$81292311.23,$0.00,$0.00,MODERN,Vendor,$0.00,$0.00,$0.00,$0.00,,-$81292311.23,$0.00,,$81292311.23,Debt,Debt,$19829284.69,,1/15/2025,$0.00
OLEUMV,,$280009.96,,$280009.96,$0.00,$0.00,OLEUMV,Vendor,$0.00,$0.00,$0.00,$0.00,,-$280009.96,$0.00,,$280009.96,Debt,Debt,$280009.96,,,$0.00
PETROJAF VENDOR,,$95275.34,,$95275.34,$0.00,$0.00,PETROJAF Vendor,Vendor,$0.00,$0.00,$0.00,$0.00,,-$95275.34,$0.00,,$95275.34,Debt,Debt,$95275.34,,,$0.00
