Name,Payment terms,Days of Credit,Credit Limit,BALANCED,link to seller,Intra ,Total Intra per client,Photo,SOLD TO,SHIP TO,Status,Accounting
PRETROJAF,,,,,,,$0.00,,,,,Unnamed record
IMPERIUM,,,,,,,$0.00,,,,,
NEW MEXXON,,,,,,,$0.00,,,,,
DUMMY CLIENT,,,$10000.00,DUMMY CLIENT,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
MOISES ENERGY,,,$10000.00,MOISES ENERGY,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
ITEF,,,,ITEF,,,$0.00,rSopuc0C4vJ6Wfd0DJs1nWJV9S4ZGV9GEyOkfRRbO3M.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/HxQsYUuc-LtQ8zH_J4UqjA/z2wi8jk8n9s0DmpVOPZxSuVpMGCx06lk9Ff8PjwUE-9xjVufchIzMLKrYu3gmy8MVswNF-PET0KpdhsG4TL0JsDDfZgbq5iybS6UGvUNnJceiFGUjHQec39MXyULchAboT70CZ7MeWwKfPgUiFxC52lB1aVjVjScTSYXJcLoUsKFSkhsymsRRA-YCLgk3J9RHYUBvGUvGDmoQmflvSAJgw/bwAAXeIyi-kNRlNzwAVdQRnKSyopzPXPR1G6PB_jljc),,,Active,Unnamed record
ALPHA,24 Hrs,,$1500000.00,ALPHA,,,$0.00,Imagen de WhatsApp 2024-10-15 a las 11.29.07_0de710b3.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/YV0I1SwITU9rMdjaN9FSQg/7kmdqjvMGMkr2pZdstlCVCX2XQu1L4rF5Tn-VlVNJJpm32K9Y67DxZbm7PZd9misX_Wi0lTXTztWF6TNHnXkMmIRkdAHxQiKqMFPRqICk89jEPw_eBAKfPDDBLmlEWy3Xx-ois2_P8q51AozuIwXw3UyH7xzJr7lGelbgKMTs-kgOprEWRXFAD1QM4UqK5UCTPPVuIQK3uA_xNz-ybXrlw/x0UehLd8m9SRyUiRO271ra9sGCoZgJqozruJ8G7Jlfw),,,Active,Unnamed record
CAMPER,24 Hrs,,$10000.00,CAMPER,,,$0.00,Camper.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/0fsEjEiFZDAoJKjM6twOFg/zkccVoNRBDZtFDLDoIHroen-Ozz9NMwc-JngvX8LH5uquoOtdZ0NoWdzvBllao-uWNK_qT1UFa7fMqyI3O6Q-76fyP3F3WlxPpLWlA0SZo58F7aNA0lhkZiA9tHzwbJvNIsUCfsNhEXcvfprQIDYgrRydVX_Uzta9fgSxwJ8N4Q/gy0uV3NRTVnts584SXyt0COP2lW3sRC6fLniIUvCKwk),,,Active,Unnamed record
CIAY,24 Hrs,,$10000.00,CIAY,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
DDP,24 Hrs,,$10000.00,DDP,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
ENERGAX,24 Hrs,,$10000.00,ENERGAX,,,$0.00,image (22).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/liId-F7pEgBqlaL-86iZZw/KcwXQi_2ArvmC0YiUWCZ2C1-Q-QvYaL2zf2PmEvXqXrNbx5pSAUr-haKz0U_LFeKO1LnDyANurTPijIj6YB5o6V4-ZyvtkuW2J8cUjtolQsEhtH2CDZ3c7CGcjK_OCHSl5tZdYWsdatrdJ2F3f5j5K7WcY9B6kDoxaVlUeOC0Qk/aByVZ0KcWPoI1Cett9V505CK4W6V4IXJIEjGD8-0zcs),,,Active,Unnamed record
GANDARA,24 Hrs,,$10000.00,GANDARA,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
PETROJAF,24 Hrs,,$10000.00,PETROJAF,,,$0.00,Petrojaf.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/dtb8dbYmXOTXzBrMzN0E3Q/wVyMSVf42ppPad5MyT2UIi9tdyhP3CyFd6_0Uh5goTb_6jpVCxUZHodDen5zG218K9PbqurE405jdvjpzinVAvb01cbbfNfg2Ni11TNKyOgumrLz94EuILddN523Aw6c6FH52HxbMBsMLLB3kgXUKZVWI3jpqUZftD-vlKZHOIo/yBEJuYsIv7n6gYWMVRi9U5rIBRHDH3YTKJGXZ46Az9g),,,Active,Unnamed record
PETROQUIRSAN,24 Hrs,,$10000.00,PETROQUIRSAN,,,$0.00,Petroquirsan.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/IA8rQjv5OVRhr4lDg0adpw/3l-MkcYzkZEwte6QSErYrZgiBeAOQY1XKHa0LptZXndmdsVRy02Scu98gZWbJkjwOuU46bf1mW299uhhh2YuC5TkUIEM_iGVff7orlEw6sVVMWmKtTo8_ZIiX2_rE4lXhjeYOUngR8eTIOQmfk3qQqez5pmJkZp54DT3ps8_3mU/30LG-Hl2f0qXqr7By7vs_yHx31AReTW9NK2vGZXuY9M),,,Active,Unnamed record
RM LIBEMIVAL,24 Hrs,,$10000.00,RM LIBEMIVAL,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
TEXAS INT,24 Hrs,,$10000.00,TEXAS INT,,,$0.00,TIF.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/j2GNE8je-xcsQImgiKy4RQ/oZkqXIfituQa6X4fZHgGMlMjEYUYvPNsSG7iG5Emxdcekflt6NJQVNIatVlfaTGxnoZOCCLhR50928DNzaBDOR88hzIKN917TEyWEc3YzMLHbUpxSNIua-NNr1FLXTdeDmwHj8JhHE7jfH3kkYpOzQ/tElSvv2E1M5VElMqf9A-lNZLvL4EGH9aTKbdm_JY8pU),,,Active,Unnamed record
J&A ENERGY,24 Hrs,,$10000.00,J&A ENERGY,,,$0.00,J&A ENERGY.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/9odPnQapu0OIGv20PzSwTg/5dX21qjtCZkpSvWXOCT036wTg5x-JzvM6e0Q2n1z-iBQFoyA6JOTXMyDxPFOii9GNNGgmDOUx-RpklUV0MS0q9F7DcqsjtiUMyt8rR2LfcAqhUv2zrVAA4dvt8TwPu2l7gd8qUrKRzH_PQnL-k8Fy5_MqfyocpQalQptiT7HYS4/44x3Rdlv4m2LsgRIxmE7Ye_O3dsbrCFlcwYMetjZ8VE),,,Active,Unnamed record
JG,24 Hrs,,$10000.00,JG,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),"""BASICOS MEXICANOS RENACER 
HIDALGO 1122
88500 REYNOSA,TAMAULIPAS""",MEXICO,Active,Unnamed record
