YEAR,MONTH,DATE,CLIENT, PAYMENT , Ajustes , Payment Status ,BALANCED,Receipt,Notes,Accounting
2022,MAR,9 de marzo de 2022,BLAU PETROL,-$50000.00,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$28000.00,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$20000.00,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$62175.00,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$30000.00,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$58809.69,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$38000.00,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$20000.00,,,BLAU PETROL,,,
2022,MAR,10 de marzo de 2022,BLAU PETROL,-$19581.14,,,BLAU PETROL,,,
2022,MAR,16 de marzo de 2022,CIAY,-$89030.00,,,CIAY,,,
2022,MAR,17 de marzo de 2022,CIAY,-$97070.39,,,CIAY,,,
2022,MAR,17 de marzo de 2022,CIAY,-$95867.50,,,CIAY,,,
2022,MAR,24 de marzo de 2022,CAMPER,-$151570.00,,,CAMPER,,,
2022,MAR,29 de marzo de 2022,CAMPER,-$99990.00,,,CAMPER,,,
2022,MAR,29 de marzo de 2022,CAMPER,-$48204.00,,,CAMPER,,,
2022,MAR,30 de marzo de 2022,CAMPER,-$121990.00,,,CAMPER,,,
2022,MAR,30 de marzo de 2022,CAMPER,-$1.00,,,CAMPER,,,
2022,MAR,31 de marzo de 2022,CAMPER,-$29990.00,,,CAMPER,,,
2022,MAR,31 de marzo de 2022,CAMPER,-$119990.00,,,CAMPER,,,
2022,MAR,31 de marzo de 2022,CAMPER,-$59376.00,,,CAMPER,,,
2022,APR,1 de abril de 2022,BLAU PETROL,-$67000.00,,,BLAU PETROL,,,
2022,APR,1 de abril de 2022,BLAU PETROL,-$25000.00,,,BLAU PETROL,,,
2022,APR,1 de abril de 2022,BLAU PETROL,-$23955.20,,,BLAU PETROL,,,
2022,APR,1 de abril de 2022,MAQUINARIA,-$151380.00,,,MAQUINARIA,,,
2022,APR,1 de abril de 2022,MG ENERGY,-$50460.00,,,MG ENERGY,,,
2022,APR,1 de abril de 2022,MG ENERGY,-$262740.00,,,MG ENERGY,,,
