YEAR,MONTH,Date 2,DATE,VENDOR,Balanced data, PAYMENT , ADJUSTMENT ,Receipt,NOTAS,Frozen Initial Balance
NaN,JAN,6/1/2025,"1/6/2025
MEXIARB",,,-$75000.00,,Imagen de WhatsApp 2025-01-06 a las 13.23.30_0ca3423b.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/nLOU3tguxf7jvqWOefpv4A/pIYo-1knf1q41jy-AIB4GA9E55VoNdjqvLPUHDCqIvUBV4B7L8_ZcfZY83PpRivhmas2wtK1k3exe_9Et-leuP33ou-cI0qIoTjRgJ4-UJI-pOvXPNLs83EAl5R1JpbXyOz0kqdRDxJE-QPpIX-GYlD-wzrvgV_FCq4gSpJKcvZ8kA2dTRfDrppBAOxFgWWdVeLyem63JUUMVKcvo9--ng/2mTcW4soD5TzefRSzwl8G3m2S5kEyQlz6RTpZI60_U0),,
2023,JUN,,"Tuesday, June 20, 2023",BLAU,BLAU,-$21763.75,,,,
2023,JUN,,"Tuesday, June 27, 2023",BLAU,BLAU,-$23706.32,,,,
2022,APR,21/4/2022,"Thursday, April 21, 2022",BROWN GTR,BROWN GTR,-$128000.00,,,,
2022,APR,19/4/2022,"Tuesday, April 19, 2022",BROWN GTR,BROWN GTR,-$38000.00,,,,
2022,APR,20/4/2022,"Wednesday, April 20, 2022",BROWN GTR,BROWN GTR,-$95000.00,,,,
2022,MAY,6/5/2022,"Friday, May 06, 2022",EAGLE ENERGY,EAGLE ENERGY,-$24840.00,,,,
2024,AUG,6/8/2024,2024/08/06,FAMA ENERGY,FAMA ENERGY,-$40325.95,,,,
2024,AUG,9/8/2024,2024/08/09,FAMA ENERGY,FAMA ENERGY,-$32875.66,,,,
2024,MAY,,"Friday, May 03, 2024",FAMA ENERGY,FAMA ENERGY,-$221260.00,,,,
2024,MAY,,"Friday, May 10, 2024",FAMA ENERGY,FAMA ENERGY,-$41720.00,,,,
2024,MAY,,"Friday, May 10, 2024",FAMA ENERGY,FAMA ENERGY,-$83440.00,,,,
2024,MAY,,"Friday, May 10, 2024",FAMA ENERGY,FAMA ENERGY,-$41211.73,,,,
2024,MAY,,"Friday, May 10, 2024",FAMA ENERGY,FAMA ENERGY,-$41720.00,,,,
2024,MAY,,"Monday, May 06, 2024",FAMA ENERGY,FAMA ENERGY,-$46076.25,,,,
2024,MAY,,"Thursday, May 16, 2024",FAMA ENERGY,FAMA ENERGY,-$23386.16,,,,
2024,MAY,,"Tuesday, May 14, 2024",FAMA ENERGY,FAMA ENERGY,-$16995.78,,,,
2024,MAY,,"Wednesday, May 08, 2024",FAMA ENERGY,FAMA ENERGY,,$221260.00,,,
2024,APR,,"Friday, April 12, 2024",FREEDOM,FREEDOM,-$24770.00,,,,
2024,APR,,"Friday, April 19, 2024",FREEDOM,FREEDOM,-$15762.00,,,,
2024,APR,,"Friday, April 19, 2024",FREEDOM,FREEDOM,-$24495.00,,,,
2023,DEC,,"Friday, December 08, 2023",FREEDOM,FREEDOM,-$22275.00,,,,
2023,DEC,,"Friday, December 08, 2023",FREEDOM,FREEDOM,-$22275.00,,,,
2023,DEC,,"Friday, December 08, 2023",FREEDOM,FREEDOM,-$22680.00,,,,
2023,DEC,,"Friday, December 15, 2023",FREEDOM,FREEDOM,$500.00,,,,
2023,DEC,,"Friday, December 22, 2023",FREEDOM,FREEDOM,-$22550.00,,,,
2023,DEC,,"Friday, December 29, 2023",FREEDOM,FREEDOM,-$49060.00,,,,
2023,DEC,,"Friday, December 29, 2023",FREEDOM,FREEDOM,-$23980.00,,,,
2024,FEB,,"Friday, February 09, 2024",FREEDOM,FREEDOM,-$23980.00,,,,
2024,FEB,,"Friday, February 09, 2024",FREEDOM,FREEDOM,-$31610.00,,,,
2024,JAN,,"Friday, January 05, 2024",FREEDOM,FREEDOM,-$24200.00,,,,
2024,JAN,,"Friday, January 05, 2024",FREEDOM,FREEDOM,-$24200.00,,,,
2024,JAN,,"Friday, January 12, 2024",FREEDOM,FREEDOM,-$42680.00,,,,
2024,JAN,,"Friday, January 26, 2024",FREEDOM,FREEDOM,-$17876.00,,,,
2024,MAR,,"Friday, March 08, 2024",FREEDOM,FREEDOM,-$46860.00,,,,
